year,week,publication_date,NOMBRE,variety,quality,size,sale_format,unit,price
2021,2,2021-01-15,papa blanca,papa_blanca,2,,,kg,700
2021,2,2021-01-15,papaya,papaya,,,,kg,433
2021,2,2021-01-15,pepino,pepino,,,,kg,325
2021,2,2021-01-15,piña,pina,,G,,u,935
2021,2,2021-01-15,piña,pina,,M,,u,813
2021,2,2021-01-15,plátano,platano,,,,u,126
2021,2,2021-01-15,queso tipo turrialba,queso_tipo_turrialba,,,,kg,3133
2021,2,2021-01-15,remolacha,remolacha,,,,u,329
2021,2,2021-01-15,repollo verde,repollo_verde,,,,kg,375
2021,2,2021-01-15,sandía,sandia,,G,,kg,725
2021,2,2021-01-15,tiquisque lila,tiquisque_lila,,,,kg,700
2021,2,2021-01-15,tomate,tomate,1,,,kg,1778
2021,2,2021-01-15,tomate,tomate,2,,,kg,1367
2021,2,2021-01-15,vainica,vainica,,,,kg,900
2021,2,2021-01-15,yuca,yuca,,,corriente,kg,383
2021,2,2021-01-15,yuca,yuca,,,parafinada,kg,358
2021,2,2021-01-15,zanahoria,zanahoria,1,,,kg,384
2021,2,2021-01-15,zanahoria,zanahoria,2,,,kg,300
2021,2,2021-01-15,zapallo,zapallo,,,,u,531
2021,2,2021-01-15,dulce,dulce,,,,tapa,900
2021,3,2021-01-22,aguacate Hass,aguacate_hass,,,,kg,2215
2021,3,2021-01-22,apio verde,apio_verde,,,,kg,1333
2021,3,2021-01-22,ayote sazón,ayote_sazon,,,,kg,450
2021,3,2021-01-22,ayote tierno,ayote_tierno,,,,u,463
2021,3,2021-01-22,banano criollo,banano_criollo,,,,u,40
2021,3,2021-01-22,brócoli,brocoli,,,,kg,2150
2021,3,2021-01-22,camote,camote,,,,kg,613
2021,3,2021-01-22,cebolla blanca,cebolla_blanca,1,,suelta,kg,1850
2021,3,2021-01-22,cebolla blanca,cebolla_blanca,2,,suelta,kg,1600
2021,3,2021-01-22,cebolla blanca,cebolla_blanca,,,trenza,kg,1850
2021,3,2021-01-22,coliflor,coliflor,,,,u,850
2021,3,2021-01-22,coco,coco,,,,u,400
2021,3,2021-01-22,culantro castilla,culantro_castilla,,,,rollo,85
2021,3,2021-01-22,chayote sazón blanco,chayote_sazon_blanco,,,,u,323
2021,3,2021-01-22,chayote tierno criollo,chayote_tierno_criollo,,,,u,350
2021,3,2021-01-22,chayote tierno quelite,chayote_tierno_quelite,,,,u,189
2021,3,2021-01-22,chile dulce,chile_dulce,1,,,u,323
2021,3,2021-01-22,chile dulce,chile_dulce,2,,,u,168
2021,3,2021-01-22,elote,elote,,,,u,155
2021,3,2021-01-22,fresa,fresa,,,,kg,3568
2021,3,2021-01-22,frijol tierno,frijol_tierno,,,,kg,1200
2021,3,2021-01-22,huevos,huevos,,,,kg,1300
2021,3,2021-01-22,lechuga americana,lechuga_americana,,,,u,244
2021,3,2021-01-22,limón mesino,limon_mesino,,,,u,207
2021,3,2021-01-22,limón mandarino,limon_mandarino,,,,u,59
2021,3,2021-01-22,manga,manga,,,,kg,889
2021,3,2021-01-22,maracuyá,maracuya,,,,kg,900
2021,3,2021-01-22,mora,mora,,,,kg,1700
2021,3,2021-01-22,naranja,naranja,,,,u,85
2021,3,2021-01-22,ñampí,nampi,,,,kg,650
2021,3,2021-01-22,papa amarilla,papa_amarilla,,,,kg,1418
2021,3,2021-01-22,papa blanca,papa_blanca,1,,,kg,1326
2021,3,2021-01-22,papa blanca,papa_blanca,2,,,kg,867
2021,3,2021-01-22,papaya,papaya,,,,kg,601
2021,3,2021-01-22,pepino,pepino,,,,kg,350
2021,3,2021-01-22,piña,pina,,G,,u,832
2021,3,2021-01-22,piña,pina,,M,,u,613
2021,3,2021-01-22,plátano,platano,,,,u,153
2021,3,2021-01-22,queso tipo turrialba,queso_tipo_turrialba,,,,kg,3175
2021,3,2021-01-22,remolacha,remolacha,,,,u,347
2021,3,2021-01-22,repollo verde,repollo_verde,,,,kg,375
2021,3,2021-01-22,sandía,sandia,,G,,kg,725
2021,3,2021-01-22,tiquisque lila,tiquisque_lila,,,,kg,733
2021,3,2021-01-22,tomate,tomate,1,,,kg,1177
2021,3,2021-01-22,tomate,tomate,2,,,kg,844
2021,3,2021-01-22,vainica,vainica,,,,kg,813
2021,3,2021-01-22,yuca,yuca,,,corriente,kg,367
2021,3,2021-01-22,yuca,yuca,,,parafinada,kg,348
2021,3,2021-01-22,zanahoria,zanahoria,1,,,kg,395
2021,3,2021-01-22,zanahoria,zanahoria,2,,,kg,300
2021,3,2021-01-22,zapallo,zapallo,,,,u,431
2021,3,2021-01-22,dulce,dulce,,,,tapa,900
2021,4,2021-01-29,aguacate Hass,aguacate_hass,,,,kg,2340
2021,4,2021-01-29,apio verde,apio_verde,,,,mata,960
2021,4,2021-01-29,ayote sazón,ayote_sazon,,,,kg,515
2021,4,2021-01-29,ayote tierno,ayote_tierno,,,,u,465
2021,4,2021-01-29,banano criollo,banano_criollo,,,,u,40
2021,4,2021-01-29,brócoli,brocoli,,,,kg,1890
2021,4,2021-01-29,camote,camote,,,,kg,565
2021,4,2021-01-29,cebolla blanca,cebolla_blanca,1,,suelta,kg,1750
2021,4,2021-01-29,cebolla blanca,cebolla_blanca,2,,suelta,kg,1500
2021,4,2021-01-29,cebolla blanca,cebolla_blanca,,,trenza,kg,1750
2021,4,2021-01-29,coliflor,coliflor,,,,u,685
2021,4,2021-01-29,coco,coco,,,,u,350
2021,4,2021-01-29,culantro castilla,culantro_castilla,,,,rollo,75
2021,4,2021-01-29,chayote sazón blanco,chayote_sazon_blanco,,,,u,400
2021,4,2021-01-29,chayote tierno criollo,chayote_tierno_criollo,,,,u,455
2021,4,2021-01-29,chayote tierno quelite,chayote_tierno_quelite,,,,u,170
2021,4,2021-01-29,chile dulce,chile_dulce,1,,,u,260
2021,4,2021-01-29,chile dulce,chile_dulce,2,,,u,135
2021,4,2021-01-29,elote,elote,,,,u,110
2021,4,2021-01-29,fresa,fresa,,,,kg,2785
2021,4,2021-01-29,frijol tierno,frijol_tierno,,,,kg,1200
2021,4,2021-01-29,hongos frescos,hongos_frescos,,,,kg,
2021,4,2021-01-29,huevos,huevos,,,,kg,1265
2021,4,2021-01-29,lechuga americana,lechuga_americana,,,,u,255
2021,4,2021-01-29,limón mesino,limon_mesino,,,,u,200
2021,4,2021-01-29,limón mandarino,limon_mandarino,,,,u,65
2021,4,2021-01-29,manga,manga,,,,kg,925
2021,4,2021-01-29,manga grande cavallini,manga_grande_cavallini,,G,,kg,
2021,4,2021-01-29,manga grande keitt,manga_grande_keitt,,G,,kg,
2021,4,2021-01-29,manga grande tommy,manga_grande_tommy,,G,,kg,
2021,4,2021-01-29,manga pequeña mora,manga_pequena_mora,,P,,kg,
2021,4,2021-01-29,manga pequeña tommy,manga_pequena_tommy,,P,,kg,
